"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 10:46:34 GMT 2024","Fri Apr 05 10:46:34 GMT 2024","21","Suite1","Test1","FooterTest","FooterTest","isPresentSearchInputOnHomePageTest","isPresentSearchInputOnHomePageTest","Test to verify is present input search in home page"
"unknown","Fri Apr 05 10:46:01 GMT 2024","Fri Apr 05 10:46:01 GMT 2024","1","Suite1","Test1","FirstTest","FirstTest","getAllUrl","getAllUrl",""
"passed","Fri Apr 05 10:46:45 GMT 2024","Fri Apr 05 10:46:49 GMT 2024","4461","Suite1","Test1","FirstTest","FirstTest","isPresentSearchPageTest","isPresentSearchPageTest","Test to verify is present search page"
"failed","Fri Apr 05 10:46:37 GMT 2024","Fri Apr 05 10:46:37 GMT 2024","83","Suite1","Test1","FirstTest","FirstTest","isPresentLorenIpsonTest","isPresentLorenIpsonTest","Test to verify isn't Loren Ipson"
"broken","Fri Apr 05 10:46:20 GMT 2024","Fri Apr 05 10:46:20 GMT 2024","29","Suite1","Test1","FooterTest","FooterTest","isEnabledSiteMapTest","isEnabledSiteMapTest","Test to verify is site map in home page"
"passed","Fri Apr 05 10:46:12 GMT 2024","Fri Apr 05 10:46:12 GMT 2024","67","Suite1","Test1","FooterTest","FooterTest","isEnabledPrivatePolicyTest","isEnabledPrivatePolicyTest","Test to verify is Private Policy in home page"
"failed","Fri Apr 05 10:46:12 GMT 2024","Fri Apr 05 10:46:12 GMT 2024","62","Suite1","Test1","FirstTest","FirstTest","checkH1ShouldBeOneTest","checkH1ShouldBeOneTest","Test to verify is H1 only one on the page"
"passed","Fri Apr 05 10:46:27 GMT 2024","Fri Apr 05 10:46:30 GMT 2024","2854","Suite1","Test1","FirstTest","FirstTest","isPresentContactUsPage","isPresentContactUsPage","Present contact us page and check title this page"
"failed","Fri Apr 05 10:46:42 GMT 2024","Fri Apr 05 10:46:42 GMT 2024","225","Suite1","Test1","HeadingsTest","HeadingsTest","testSequentialHeadingsOrder","testSequentialHeadingsOrder","Test to verify is Sequential Headings Order"
"passed","Fri Apr 05 10:46:20 GMT 2024","Fri Apr 05 10:46:20 GMT 2024","8","Suite1","Test1","FirstTest","FirstTest","checkShouldNotHaveHorizontalScrollbar","checkShouldNotHaveHorizontalScrollbar","Checks should not have horizontal scrollbar"
"broken","Fri Apr 05 10:46:27 GMT 2024","Fri Apr 05 10:46:27 GMT 2024","20","Suite1","Test1","FooterTest","FooterTest","isEnabledTermsAndConditionsTest","isEnabledTermsAndConditionsTest","Test to verify is Terms And Conditions in home page"
"passed","Fri Apr 05 10:46:49 GMT 2024","Fri Apr 05 10:46:52 GMT 2024","2250","Suite1","Test1","RedirectFromHttpToHttpsTest","RedirectFromHttpToHttpsTest","checkRedirectFromHttpToHttps","checkRedirectFromHttpToHttps","Test to check to redirect from http to https"
"failed","Fri Apr 05 10:46:56 GMT 2024","Fri Apr 05 10:46:57 GMT 2024","1133","Suite1","Test1","FirstTest","FirstTest","isPresentValueAttributeAltImg","isPresentValueAttributeAltImg","Test to verify attribute Alt contains value"
